"municipio","idx1_servicio1","idx1_servicio2","idx1_servicio3","idx2_Adultez1","idx2_Adultez2","idx2_Adultez3","idx3_climatico1","idx3_climatico2","idx4_Capacidad1","idx4_Capacidad2","idx5_viviendas1","idx5_viviendas2","idx5_viviendas3","idx6_crecimiento1","idx6_crecimiento2","idx6_crecimiento3","idx6_crecimiento4","idx6_crecimiento5","idx7_gini1","idx8_demografica1","idx8_demografica2","idx9_infnin1","idx9_infnin2","idx9_infnin3","idx9_infnin4","idx10_juventud1","idx10_juventud2","idx10_juventud3","idx10_juventud4","idx10_juventud5","idx11_pobreza1","idx11_pobreza2","idx12_salud1","idx13_saludmental1","idx13_saludmental2","idx14_seguridad1","idx14_seguridad2","idx15_vejez1","sub_grp"
"medellin",0.418963775568683,0.849926202814168,-0.232284322607338,-0.0887793012534484,-2.11260787680453,-0.370043736741167,0.643123930775207,0.233147295636557,4.17180956347786,10.1560216852479,0.851301475909482,0.722945034484273,-0.224038818704815,1.82731639842461,1.30820503543653,0.633148564178228,0.589300679959545,0.624308552328947,0.40275278943926,1.65316818797611,-0.273206335323689,0.404454848464476,-1.15687464320799,-0.16149731045828,0.136881810782676,2.05747176772836,-0.881721013863775,-0.69349518595784,0.392561271984788,-1.70956061152896,0.614368787990874,-1.34507519691826,0.514183442524192,0.779398494712015,0.461918662169851,0.0163430627528895,2.95913092008887,0.660777409465682,1
"abejorral",0.372662769318873,0.13284671913631,0.351598237655473,-0.187577773800957,1.30650646844809,0.590617021512176,-0.537478932401881,0.0409320017175668,-0.158078966529187,-0.125285059786485,-0.227262850467615,1.01712575336116,-1.32017783481848,-0.765329896319775,-0.516084125810698,-0.857414482902618,0.209572557474907,-0.418278274655243,-1.17672871219692,-0.396874645348871,1.15547909860032,-0.500149062761458,0.271514163873165,0.338812199330877,0.909183251417259,0.190939661135681,-0.0165905893630169,2.20205976618397,3.24529729818038,-0.242366817460137,-0.513149873095385,-0.797591404909358,0.519024436237548,3.40229819385128,1.44407881810738,0.306870093523168,1.08259445783308,0.944941025424903,2
"abriaqui",-0.612395801304144,0.474778920459208,0.538785528197521,-1.42973383847561,0.917022920043511,-0.113029954438622,-0.358237731602089,0.297168175443882,-1.23970633388252,0.0495923129379116,0.278157611007119,-0.150363386582953,-0.220547199997167,-2.29681826077225,-0.290839751345121,1.08250896187012,1.28468515885248,0.960430247226194,1.39241398393344,-0.221704936342571,1.37067699556845,-1.60958251298825,1.1459982036847,1.34823201986721,-0.410350100072785,-0.238216862411385,1.97085219869722,0.895931346100798,-0.671320147448606,-0.358968331139704,0.717214310597672,-0.54096874038115,0.572402965895358,0.794966730265403,-3.60703712452992,1.31665612965432,-1.31608906574655,0.645318395473562,2
"alejandria",0.342197040330532,0.143421941857637,0.357387535301103,-1.49297335014009,0.848762778342545,-0.496912892873099,-0.194260959252525,0.51231418566761,-0.745276526676122,0.200876038463277,0.874557455484517,0.162366917153854,0.395256727481381,-0.255095195781989,-0.404603203752129,-1.0326315605815,-0.157382848206927,0.34936791228556,-0.134414854717265,-0.825423443366664,0.840587939741694,-1.17543971865338,0.325632756827681,0.70544325139846,1.88458314832717,-0.214171296318278,1.46264554753205,-1.00951900261002,-0.850844712250104,0.488192305254297,-0.0955725702068889,0.415714706870712,0.531375517897563,-0.107362882219707,-1.58269255907709,0.807938702644035,-0.994485406684664,0.450521204012882,2
"amaga",-2.18889672773723,-1.53287890876016,-6.38775810713958,1.02183469307569,-0.249786292569364,0.581882354967438,-0.451335451403184,0.486865477379823,0.297152381413191,-0.161750010655334,0.424861225959727,0.8017957703866,-0.547252558679487,1.27010681744843,-1.09294969022858,-0.0948695982738663,-0.722944002638419,-0.421039697916072,-0.460008320779557,1.17760904720309,-0.391742567910446,-0.398803829722572,-0.18121734087637,0.0386352571852184,-0.0844757291216613,0.292589277839587,0.101471624865905,0.45269172992704,-0.761443875551042,1.25301693031823,0.389402813246419,-0.412698103115121,0.484855419146454,-1.35065848417528,-0.215093785050226,0.425028300853683,-0.487945760536578,0.466613508759646,2
"amalfi",0.423438984299441,0.115221347934099,0.341949408246089,-0.119241500984254,0.575649542749649,-0.140703968240674,0.0861238155504208,-0.900151864632836,-0.0669183026057439,-0.0429140293915254,0.0101380068875224,-0.197628010346132,-0.0728262902655649,-0.571499273326127,0.453846033150082,0.118298645912211,1.06431507397635,-0.0511385215606406,-1.04465601257307,0.417928642799631,-0.222792721382942,-0.505032228329517,0.950264177803185,0.220357343301442,0.485458213734929,-0.402474266594132,0.966073378579931,0.419855367485974,-0.0936346344398252,-0.709357471323901,0.0997239074569838,1.0353850265437,0.237361685705412,-0.25773895625356,-0.120819215511523,-1.07155583646093,-0.195929557141242,-0.546977299905562,2
"andes",0.534268116072737,0.937516704874584,-0.244973879301386,0.636756127071878,-0.716707666579827,1.41761920467193,0.017324686401827,-0.256344983555881,0.239868952223353,-0.0707243563050883,0.931397589186558,0.142247440608598,0.650609757861956,0.465679874586826,0.426259844109702,-0.721653529323229,-0.20389822290045,0.662052143502888,-0.815119543850269,0.673522322114273,-0.355352686981923,-0.0766696930736866,-0.113840040831631,-0.468106101694532,-0.392847258064474,0.367494934132776,0.0210523318147066,-0.0738847572808041,-1.1799425920127,-0.0225804773901242,0.42041140746899,0.156560366024191,0.522886358168311,-0.393958220128012,-1.00044524032882,-0.512321824638236,0.487556305507797,0.347864244898293,1
"angelopolis",-1.04116253807229,-1.62666225835275,-2.1684432278072,1.28239473510277,-0.427305438524167,-0.604144987141826,-0.0300643191853441,0.66797946551553,0.36882081410002,-0.429848993926326,0.24350857923882,0.00803081099715396,0.214993186409042,-0.463292585320294,-0.39917638019128,-0.250292185830656,0.522799341765677,-0.194098351502916,-1.09896932081792,0.300810363825405,0.226771464101043,-0.507002830214445,0.251321327318041,-0.37530663588233,-2.6033813949361,0.353890774386346,0.283325692101764,-0.783444355066291,0.644196084848426,1.16306069849205,0.553554006424815,0.299909518784573,0.55630781791324,0.647676126638227,-2.9414698598502,0.319663082288072,-0.547588025996461,0.678167323778769,2
"angostura",-0.219799054733582,-0.118483619563678,-1.64339977989895,-0.592636261570307,1.28325297325164,0.54025854803237,0.497635344534405,-2.11457119907327,0.248992183761551,-0.11543908446211,-0.292645407258472,-0.421133221336419,-0.388450010739934,-0.568542631478032,0.641648659117985,-0.352349666820477,-1.18485275184334,0.605835783849834,3.08054788779654,-0.00902864934897364,0.336370733379261,-0.599967494836758,0.590866599769424,0.0180588559997797,-0.393086854405881,-1.16209480198879,1.5190949497648,-0.261674161798076,-0.710086508156688,0.193621248294614,-0.721054161877895,1.9359765234538,0.527447241641495,0.517874724425839,-0.781667650212869,-0.692175193882854,-1.21146640001518,-0.109891480997741,2
"anori",0.539393416004241,0.899345092531909,-0.259596127803631,1.14769733437289,-0.0202284548273737,0.771117486584533,-1.45495707237655,-1.42952594231598,-0.900854998443094,0.168272116242538,-0.474431899514123,-1.99876881824827,0.969531073509252,-1.02383593455285,0.4388564828351,-0.0496997986689399,0.513278538008429,-0.837555499274726,-0.00156827566244402,0.0658593619150287,-0.0788968340437838,-0.547894191850029,0.277696799989255,0.0333569919460075,-0.0435050527443535,-1.6371949137733,0.620332246176772,0.897477788890957,-0.107030588253005,-3.0455519620045,-0.117901502410302,0.204024793497545,-1.20241151345612,-1.08294796555025,0.445191993705036,-3.95538564344278,-0.0872484291178167,-1.30811862743176,2
