nivl_vl,id_nivl,nvl_lbl,X,Y,code5,depcode,nvl_vl_,nvl_l_2,nvl_label,municipio,idx1_servicio1,idx1_servicio2,idx1_servicio3,idx2_Adultez1,idx2_Adultez2,idx2_Adultez3,idx3_climatico1,idx3_climatico2,idx4_Capacidad1,idx4_Capacidad2,idx5_viviendas1,idx5_viviendas2,idx5_viviendas3,idx6_crecimiento1,idx6_crecimiento2,idx6_crecimiento3,idx6_crecimiento4,idx6_crecimiento5,idx7_gini1,idx8_demografica1,idx8_demografica2,idx9_infnin1,idx9_infnin2,idx9_infnin3,idx9_infnin4,idx10_juventud1,idx10_juventud2,idx10_juventud3,idx10_juventud4,idx10_juventud5,idx11_pobreza1,idx11_pobreza2,idx12_salud1,idx13_saludmental1,idx13_saludmental2,idx14_seguridad1,idx14_seguridad2,idx15_vejez1,sub_grp
05001,mpio,Medellín,-75.6127999092285,6.258851646871735,05001,05,5001,Med,medellin,medellin,0.4189637755686828,0.8499262028141682,-0.23228432260733825,-0.08877930125344838,-2.11260787680453,-0.37004373674116675,0.643123930775207,0.23314729563655745,4.17180956347786,10.15602168524787,0.8513014759094821,0.7229450344842734,-0.2240388187048154,1.8273163984246124,1.3082050354365302,0.6331485641782284,0.5893006799595454,0.624308552328947,0.4027527894392599,1.6531681879761098,-0.2732063353236886,0.4044548484644757,-1.1568746432079864,-0.16149731045828045,0.1368818107826755,2.057471767728358,-0.8817210138637749,-0.6934951859578404,0.39256127198478824,-1.709560611528959,0.6143687879908738,-1.3450751969182622,0.514183442524192,0.77939849471201506,0.4619186621698511,0.016343062752889465,2.959130920088873,0.6607774094656821,1
05002,mpio,Abejorral,-75.43996915359027,5.802327928317855,05002,05,5002,Abe,abejorral,abejorral,0.37266276931887293,0.13284671913630994,0.3515982376554732,-0.1875777738009574,1.3065064684480863,0.5906170215121759,-0.5374789324018807,0.040932001717566786,-0.15807896652918696,-0.12528505978648463,-0.2272628504676152,1.0171257533611648,-1.32017783481848,-0.7653298963197747,-0.516084125810698,-0.8574144829026182,0.2095725574749066,-0.418278274655243,-1.1767287121969157,-0.39687464534887146,1.1554790986003247,-0.5001490627614582,0.27151416387316507,0.33881219933087725,0.9091832514172585,0.19093966113568053,-0.01659058936301689,2.202059766183966,3.2452972981803754,-0.24236681746013725,-0.513149873095385,-0.7975914049093579,0.519024436237548,3.4022981938512777,1.4440788181073827,0.3068700935231684,1.0825944578330815,0.9449410254249033,2
05004,mpio,Abriaquí,-76.0871416147664,6.628242805445521,05004,05,5004,Abr,abriaqui,abriaqui,-0.6123958013041435,0.4747789204592083,0.5387855281975208,-1.4297338384756093,0.9170229200435113,-0.11302995443862239,-0.35823773160208894,0.29716817544388197,-1.239706333882517,0.04959231293791158,0.27815761100711917,-0.15036338658295273,-0.2205471999971668,-2.296818260772252,-0.29083975134512063,1.0825089618701167,1.2846851588524755,0.9604302472261937,1.3924139839334375,-0.22170493634257146,1.3706769955684537,-1.6095825129882462,1.1459982036846965,1.3482320198672146,-0.41035010007278533,-0.23821686241138504,1.9708521986972236,0.8959313461007976,-0.6713201474486062,-0.35896833113970433,0.7172143105976716,-0.5409687403811503,0.5724029658953581,0.7949667302654028,-3.6070371245299153,1.3166561296543244,-1.3160890657465516,0.6453183954735618,2
05021,mpio,Alejandría,-75.08992268709144,6.364688109831899,05021,05,5021,Ale,alejandria,alejandria,0.3421970403305322,0.1434219418576367,0.35738753530110345,-1.492973350140093,0.8487627783425453,-0.4969128928730988,-0.1942609592525252,0.5123141856676101,-0.7452765266761219,0.20087603846327673,0.874557455484517,0.1623669171538537,0.3952567274813813,-0.25509519578198875,-0.40460320375212944,-1.0326315605814966,-0.15738284820692694,0.3493679122855597,-0.1344148547172654,-0.8254234433666643,0.8405879397416935,-1.175439718653385,0.3256327568276811,0.7054432513984604,1.884583148327172,-0.21417129631827767,1.462645547532048,-1.0095190026100174,-0.8508447122501043,0.4881923052542965,-0.09557257020688886,0.4157147068707119,0.5313755178975629,-0.10736288221970654,-1.5826925590770884,0.8079387026440351,-0.9944854066846638,0.45052120401288215,2
05030,mpio,Amagá,-75.70694035674894,6.032726554782707,05030,05,5030,Ama,amaga,amaga,-2.1888967277372284,-1.5328789087601575,-6.387758107139577,1.0218346930756916,-0.2497862925693637,0.5818823549674379,-0.4513354514031844,0.4868654773798232,0.2971523814131914,-0.1617500106553336,0.4248612259597272,0.8017957703866,-0.5472525586794866,1.2701068174484318,-1.0929496902285833,-0.09486959827386635,-0.7229440026384193,-0.4210396979160722,-0.4600083207795568,1.177609047203093,-0.3917425679104459,-0.39880382972257183,-0.18121734087636973,0.03863525718521843,-0.08447572912166126,0.2925892778395871,0.10147162486590468,0.4526917299270398,-0.7614438755510421,1.253016930318229,0.3894028132464189,-0.4126981031151211,0.4848554191464535,-1.3506584841752787,-0.2150937850502256,0.4250283008536826,-0.48794576053657773,0.4666135087596461,2
05031,mpio,Amalfi,-74.98142088861091,6.977017823056702,05031,05,5031,Ama,amalfi,amalfi,0.4234389842994409,0.11522134793409872,0.3419494082460895,-0.11924150098425386,0.5756495427496486,-0.14070396824067377,0.08612381555042083,-0.9001518646328359,-0.06691830260574388,-0.04291402939152535,0.01013800688752235,-0.19762801034613217,-0.07282629026556488,-0.5714992733261272,0.45384603315008243,0.11829864591221108,1.0643150739763492,-0.051138521560640596,-1.0446560125730744,0.4179286427996314,-0.22279272138294212,-0.5050322283295174,0.950264177803185,0.22035734330144188,0.4854582137349291,-0.40247426659413243,0.9660733785799309,0.4198553674859742,-0.09363463443982521,-0.7093574713239006,0.09972390745698384,1.035385026543696,0.2373616857054116,-0.25773895625356,-0.1208192155115235,-1.071555836460932,-0.19592955714124202,-0.546977299905562,2
05034,mpio,Andes,-75.92493905135751,5.624279481107275,05034,05,5034,And,andes,andes,0.5342681160727369,0.9375167048745839,-0.24497387930138576,0.636756127071878,-0.7167076665798268,1.4176192046719263,0.017324686401826994,-0.25634498355588087,0.23986895222335267,-0.07072435630508833,0.9313975891865577,0.14224744060859823,0.6506097578619563,0.4656798745868263,0.4262598441097022,-0.7216535293232293,-0.20389822290045037,0.6620521435028877,-0.8151195438502693,0.6735223221142729,-0.3553526869819234,-0.07666969307368661,-0.11384004083163064,-0.4681061016945319,-0.39284725806447424,0.36749493413277645,0.021052331814706622,-0.07388475728080414,-1.179942592012697,-0.022580477390124153,0.4204114074689903,0.15656036602419054,0.5228863581683113,-0.3939582201280117,-1.0004452403288204,-0.5123218246382356,0.48755630550779744,0.34786424489829254,1
05036,mpio,Angelópolis,-75.71816333813786,6.119759257449431,05036,05,5036,Ang,angelopolis,angelopolis,-1.041162538072286,-1.6266622583527477,-2.1684432278072023,1.2823947351027687,-0.42730543852416747,-0.6041449871418263,-0.0300643191853441,0.66797946551553,0.3688208141000203,-0.4298489939263258,0.24350857923882038,0.008030810997153956,0.21499318640904236,-0.46329258532029377,-0.39917638019128004,-0.25029218583065577,0.5227993417656772,-0.19409835150291557,-1.098969320817921,0.30081036382540466,0.2267714641010429,-0.5070028302144449,0.25132132731804085,-0.3753066358823296,-2.6033813949360978,0.3538907743863465,0.2833256921017637,-0.7834443550662914,0.6441960848484262,1.1630606984920548,0.5535540064248146,0.29990951878457267,0.5563078179132396,0.6476761266382267,-2.941469859850197,0.31966308228807216,-0.5475880259964611,0.6781673237787686,2
05038,mpio,Angostura,-75.35932847383421,6.861471413586091,05038,05,5038,Ang,angostura,angostura,-0.21979905473358238,-0.1184836195636776,-1.6433997798989477,-0.5926362615703066,1.283252973251636,0.54025854803237,0.4976353445344051,-2.114571199073275,0.24899218376155116,-0.11543908446211026,-0.2926454072584723,-0.42113322133641906,-0.38845001073993446,-0.5685426314780321,0.6416486591179849,-0.35234966682047697,-1.1848527518433445,0.6058357838498336,3.080547887796542,-0.009028649348973643,0.3363707333792608,-0.5999674948367579,0.5908665997694237,0.018058855999779744,-0.393086854405881,-1.1620948019887902,1.5190949497647952,-0.2616741617980757,-0.7100865081566884,0.1936212482946136,-0.7210541618778948,1.9359765234537953,0.527447241641495,0.5178747244258394,-0.7816676502128692,-0.6921751938828541,-1.21146640001518,-0.10989148099774067,2
05040,mpio,Anorí,-75.10780220695464,7.193963891656249,05040,05,5040,Ano,anori,anori,0.5393934160042411,0.8993450925319092,-0.2595961278036313,1.1476973343728938,-0.020228454827373683,0.7711174865845329,-1.454957072376553,-1.4295259423159803,-0.900854998443094,0.16827211624253802,-0.47443189951412273,-1.9987688182482686,0.9695310735092516,-1.0238359345528523,0.4388564828351002,-0.04969979866893995,0.5132785380084289,-0.837555499274726,-0.0015682756624440183,0.06585936191502874,-0.07889683404378381,-0.5478941918500286,0.2776967999892548,0.03335699194600753,-0.04350505274435352,-1.6371949137732973,0.6203322461767723,0.8974777888909574,-0.10703058825300535,-3.0455519620045006,-0.11790150241030171,0.20402479349754538,-1.2024115134561237,-1.0829479655502454,0.4451919937050358,-3.955385643442785,-0.08724842911781669,-1.3081186274317644,2
