nivl_vl,id_nivl,nvl_lbl,X,Y,code5,depcode,nvl_vl_,nvl_l_2,nvl_label,idx1_servicio1,idx1_servicio2,idx1_servicio3,idx2_Adultez1,idx2_Adultez2,idx2_Adultez3,idx3_climatico1,idx3_climatico2,idx4_Capacidad1,idx4_Capacidad2,idx5_viviendas1,idx5_viviendas2,idx5_viviendas3,idx6_crecimiento1,idx6_crecimiento2,idx6_crecimiento3,idx6_crecimiento4,idx6_crecimiento5,idx7_gini1,idx8_demografica1,idx8_demografica2,idx9_infnin1,idx9_infnin2,idx9_infnin3,idx9_infnin4,idx10_juventud1,idx10_juventud2,idx10_juventud3,idx10_juventud4,idx10_juventud5,idx11_pobreza1,idx11_pobreza2,idx12_salud1,idx13_saludmental1,idx13_saludmental2,idx14_seguridad1,idx14_seguridad2,idx15_vejez1,sub_grp
05002,mpio,Abejorral,-75.43996915359027,5.802327928317855,05002,05,5002,Abe,abejorral,0.476785484738523,0.030224336240885743,0.33908141094814487,0.7317522905834973,-1.1013094425573384,-0.039248513680163355,-0.20682565324282703,0.1415972519199641,0.14317619240798696,-0.09248803987044785,0.1494971325380483,1.7656198495485578,-2.91808712200503,0.7384321217223014,0.03904976190486245,0.768020051869091,0.03768786186143354,0.5209334604209421,1.2037483987659063,0.2265640404166779,-0.8502305512734586,0.4065774348303412,-0.017378281086936127,-0.3966452890012776,-0.8874022674919415,-0.9841939858263541,-1.5561099456489196,-0.7620191854006739,-2.805825402944415,-1.3471714505507169,1.0392061005999698,1.1448098375976745,0.446228626168935,3.1135860879159702,2.1727230322591433,-0.052441675218553606,2.6394712371819944,-0.8076141584397732,Transición - Alta
05004,mpio,Abriaquí,-76.0871416147664,6.628242805445521,05004,05,5004,Abr,abriaqui,-0.807720905300284,-0.97994249382570775,0.7187268113557072,1.3373057129097998,0.3708234293189612,-0.018765933880802575,0.14906744862902893,0.12831929851835197,1.2604595879664062,0.9944201563924976,0.0825750455828391,0.14870200859438756,0.4914684236775889,2.5069138211322635,0.9304838178023221,-1.8220374748769237,-0.0013574219106016502,-0.8168853720084779,-1.268562901534213,-0.03158914314354024,-0.8550889472095,1.7718156898579667,0.3664582754870844,1.0699161739712786,0.3852197449431018,0.46679252387483583,1.0198020144438698,-1.9060968872182318,-0.49138254822551863,1.1452266236546222,-0.995671225944173,0.29847423006799645,0.653677292943986,0.9260902633612941,-2.992014660683247,-1.3406584433763817,-1.1511279587005934,-0.4132570073966324,Transición - Media
05021,mpio,Alejandría,-75.08992268709144,6.364688109831899,05021,05,5021,Ale,alejandria,0.4370584829847455,-0.0010179368539573847,0.35082302127002823,1.4729331715937477,0.5899984945275368,0.2825757706914586,0.42202349036905834,0.14831745993092918,0.5945236668139359,0.21470662859690887,1.14877527563846,-0.23527542623160308,0.18460481013240548,0.37194703348903824,-0.4057896119563981,0.5941867569407644,0.7334506914144275,0.0032620548501520095,0.19085445509481527,0.8990391695653763,-1.2461092970990293,1.2710203463374707,-0.23217645714907592,-0.4635064564159255,-0.9227400437638797,0.7114372310533552,1.9464242423405327,0.13862318167502674,-0.021159780111230854,0.5940245345107266,0.24261968646936427,-0.132677824062022,0.48403353519988007,-0.06028303070408274,-1.2911090669054546,-0.8015582557461969,-1.3044514188426393,-0.17790727009899066,Transición - Media
05030,mpio,Amagá,-75.70694035674894,6.032726554782707,05030,05,5030,Ama,amaga,-2.756631555568537,1.048789776881555,-4.85343790020537,-1.328171651384428,-0.4148642199496569,-0.3362935907165349,0.16710622321308974,0.4824642809922944,-0.35198979237932565,-0.5953737463055683,0.8810354204906475,0.0711515201558356,-2.1319738530546357,-2.2034294141787747,0.6833633302643026,1.1398289264706014,0.3376562921938903,0.7516150586375072,0.49599364997860734,-1.9876169938595665,0.18812649569270729,-0.19838515280437877,0.30652196971780743,-0.08655567568726094,-0.09153605585250332,-0.8877526132801455,0.7864684622295836,-0.06521644720784675,0.9485678102862037,0.14814758040043363,-0.35490240461454253,0.6036961393069533,0.38247642129438597,-1.3917458096626665,-0.32603768026077895,-0.3352711566291043,-0.158337950837459,-0.15777717366706298,Transición - Alta
05031,mpio,Amalfi,-74.98142088861091,6.977017823056702,05031,05,5031,Ama,amalfi,0.5429971543281522,0.08229479139895757,0.31951206041167257,0.18712119175801178,-0.026119830189309766,0.3325615929939409,-0.6684727171914577,-1.1609410429115161,-0.016174040697344443,-0.30289441111137905,-0.43818194272315053,1.0055384608302649,0.8861883967644751,0.6781295530062281,-0.2959689906707703,-0.8851527560738514,-0.926555629763628,-0.5674847088098107,1.0665130320606941,-0.817308333414612,-0.13401991931121976,0.5100165926036025,-0.611669915522179,0.11236378067384802,-0.23099483477873078,0.3350635757797443,-0.059690543190880456,-0.8979386191941131,0.15004822810626417,0.2587020408362142,0.1956578610037341,-1.0554885166037746,-0.19997883277358156,-0.3202956973108273,-2.4148956022339242e-4,1.1689274969720889,-0.08636912219143424,1.0965916597034824,Transición - Media
05036,mpio,Angelópolis,-75.71816333813786,6.119759257449431,05036,05,5036,Ang,angelopolis,-1.3627772784525585,1.1424669760983595,-1.4704714459304373,-1.7101950121615008,-0.33035174236744014,1.3612790967618322,0.6296757671250731,0.14071557258620437,-2.3287645427235963,3.6845693370417334,-0.008280574048102516,0.003994627386557088,0.08663076543507346,-0.10751766152458182,0.6985212548334677,0.44464140785438616,-1.0994152709466198,-0.26949631769839516,1.1145902732551909,-0.6596759676795425,0.26544888526563537,-0.11575390369727633,0.30148471752157757,0.23026569189701987,2.4334273202490166,-0.18251202974633535,0.9148955868214694,1.2250932021678562,-0.6958536945962017,-0.5854955724631784,-0.5830517194098696,-0.007305877242234538,0.5871257154419982,0.8402135179739815,-2.262288335692516,-0.23254526504358922,0.3949228896056235,-0.4513663355134304,Transición - Alta
05038,mpio,Angostura,-75.35932847383421,6.861471413586091,05038,05,5038,Ang,angostura,-0.15753674525912065,-0.00288977577078165,-1.4899224950576964,1.0374950352524859,-0.7784711079627364,-0.14401040407182714,-1.5198890566559744,-2.432059065427531,-0.32810126111650756,-0.59410773386874,-0.6608616550523603,0.5739968978529768,-0.2575841842923505,0.08962995263333462,-1.0244431423112752,-0.010295383130713404,0.024415312260926542,-0.8550425674832076,-2.927185429738884,-0.3113409940779501,0.6201420580912321,0.6500877858600951,-0.5680605741110556,-0.3879767688054719,0.41989231889597056,1.5030282846615768,0.32496235331763507,-0.7209501818834553,0.36700535704214415,-0.12068246100866419,1.3215936527202332,-1.543564677233987,0.4677905666981076,0.47227620392945296,-0.4263397845082897,0.644380236963177,-1.1533582621949612,0.5478932696783012,Transición - Baja
05040,mpio,Anorí,-75.10780220695464,7.193963891656249,05040,05,5040,Ano,anori,0.898066906358685,-0.8242689665375735,-0.6606191713952816,-1.4062968444129773,-0.9614983390423034,-0.24935656121811073,-2.0792667022987827,-0.02544304855187753,0.7940004184843751,0.4417034760636713,-1.8654601619763864,-1.7362065825747441,-0.2980811963354646,1.1977056240266226,-0.3035136440313781,-1.0017025375934498,-0.36862309672839827,0.6001422713090693,0.06267516327571364,-0.5048644905188949,-0.2651428416798848,0.43506886947530177,-0.054436908566806184,-0.39187759794238053,0.04114985740448665,1.476582504800223,-1.60323222538525,-0.9585539762200577,0.21793070862905825,0.802212273630025,0.6120965098434423,-0.3979938143272128,-4.6693608496689665,-1.1780607968158767,0.33538323157612854,4.16324629709517,-0.20407172587348693,2.0683237171549522,Transición - Baja
05042,mpio,Santa Fé De Antioquia,-75.90499964678077,6.534498010517901,05042,05,5042,San,santa_fe_de_antioquia,0.5305864141686749,-0.43874277870395,-0.7557207774132366,-1.337499384979811,-0.5425043131484031,-0.8632816257449308,0.7564655452743504,0.11614366286760529,-2.705243271695718,3.231042503456458,-0.10046070925603161,1.6813213409750978,0.19634000676307406,-1.3702442860571018,-1.0886509924687342,-1.0124873819086746,0.12367401306002304,-0.9853383501076552,-0.5575857054234659,-1.120079472847374,0.5740366633619199,-1.0347777449367346,0.5538656540585755,0.08388783871425119,0.3208661947575223,-0.7713230707832438,-0.3987781063339476,1.7464660772336682,2.017384160961012,-4.115255719438051,0.43325004015051405,1.5133345399759468,-0.48422029183098664,-1.1377672660669291,-0.24901237971249662,0.006191579620694546,-0.10543926767749569,0.258761133276722,Transición - Media
05044,mpio,Anzá,-75.91231309090341,6.305861557837838,05044,05,5044,Anz,anza,-1.7871749969106498,1.6031832383409659,0.05046027333642395,1.0579944192307855,0.8756377703579922,-2.2921551686552877,-2.4055815666729834,2.427616017226084,0.4192648515887242,0.04964842764004778,0.20629412219708362,1.4328657540104146,0.674092008516016,-0.061752157373339125,-0.00605226264701155,-1.4699058633930178,1.0936613620692832,1.8740176383365996,-0.47002084821586876,-0.25469406659639887,0.04834366099103603,-0.8454891138003084,0.31826016458779527,-0.03792864595737107,0.9350717662850438,1.2123978977749978,-0.9966439057986705,0.13469945209153117,-0.3152530543614766,-0.4059111396742298,-0.7994294666482261,-1.6916555609533783,-0.4196806677431915,-0.25368046027960506,0.38052115571401407,-0.08107736035587257,0.1779609633949404,0.21422594837421993,Transición - Media
