CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_hombres
05761,SOPETRAN,6,ANTIOQUIA,.075424261
05591,PUERTO TRIUNFO,8,ANTIOQUIA,.075507313
05044,ANZA,3,ANTIOQUIA,.077962577
05001,MEDELLIN,968,ANTIOQUIA,.079199299
05088,BELLO,215,ANTIOQUIA,.079421371
05148,EL CARMEN DE VIBORAL,25,ANTIOQUIA,.0796635
05318,GUARNE,24,ANTIOQUIA,.081986815
05440,MARINILLA,28,ANTIOQUIA,.082801044
05686,SANTA ROSA DE OSOS,16,ANTIOQUIA,.083281286
05887,YARUMAL,18,ANTIOQUIA,.083916083
05212,COPACABANA,36,ANTIOQUIA,.08869835
05390,LA PINTADA,4,ANTIOQUIA,.092506938
05093,BETULIA,8,ANTIOQUIA,.09503445
05113,BURITICA,5,ANTIOQUIA,.096918009
05264,ENTRERRIOS,6,ANTIOQUIA,.10085729
05697,EL SANTUARIO,18,ANTIOQUIA,.10112928
05376,LA CEJA,40,ANTIOQUIA,.11882835
05055,ARGELIA,5,ANTIOQUIA,.1222195
05615,RIONEGRO,88,ANTIOQUIA,.12332184
05541,EL PENOL,14,ANTIOQUIA,.12805268
05347,HELICONIA,4,ANTIOQUIA,.13527223
05150,CAROLINA,3,ANTIOQUIA,.14648438
05400,LA UNION,19,ANTIOQUIA,.16961257
05353,HISPANIA,5,ANTIOQUIA,.17325017
05002,ABEJORRAL,24,ANTIOQUIA,.2154979
05321,GUATAPE,12,ANTIOQUIA,.27560863
