CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_514
05234,DABEIBA,0,ANTIOQUIA,0
05264,ENTRERRIOS,0,ANTIOQUIA,0
05306,GIRALDO,0,ANTIOQUIA,0
05313,GRANADA,0,ANTIOQUIA,0
05315,GUADALUPE,0,ANTIOQUIA,0
05347,HELICONIA,0,ANTIOQUIA,0
05364,JARDIN,0,ANTIOQUIA,0
05368,JERICO,0,ANTIOQUIA,0
05411,LIBORINA,0,ANTIOQUIA,0
05467,MONTEBELLO,0,ANTIOQUIA,0
05475,MURINDO,0,ANTIOQUIA,0
05480,MUTATA,0,ANTIOQUIA,0
05483,NARINO,0,ANTIOQUIA,0
05495,NECHI,0,ANTIOQUIA,0
05591,PUERTO TRIUNFO,0,ANTIOQUIA,0
05652,SAN FRANCISCO,0,ANTIOQUIA,0
05656,SAN JERONIMO,0,ANTIOQUIA,0
05658,SAN JOSE DE LA MONTANA,0,ANTIOQUIA,0
05660,SAN LUIS,0,ANTIOQUIA,0
05670,SAN ROQUE,0,ANTIOQUIA,0
05761,SOPETRAN,0,ANTIOQUIA,0
05842,URAMITA,0,ANTIOQUIA,0
05856,VALPARAISO,0,ANTIOQUIA,0
05873,VIGIA DEL FUERTE,0,ANTIOQUIA,0
05885,YALI,0,ANTIOQUIA,0
05893,YONDO,0,ANTIOQUIA,0
