CODIGO_MUNICIPIO,NOMBRE_MPIO,NOMBRE_DEPTO,porcentaje_suicidio_15_64
05809,TITIRIBI,ANTIOQUIA,.040360555
05819,TOLEDO,ANTIOQUIA,.060569353
05837,TURBO,ANTIOQUIA,.041042976
05847,URRAO,ANTIOQUIA,.030067652
05854,VALDIVIA,ANTIOQUIA,.11918951
05856,VALPARAISO,ANTIOQUIA,.043821208
05858,VEGACHI,ANTIOQUIA,.10963576
05861,VENECIA,ANTIOQUIA,.071556352
05873,VIGIA DEL FUERTE,ANTIOQUIA,.018779343
05885,YALI,ANTIOQUIA,.057372347
05887,YARUMAL,ANTIOQUIA,.13615631
05890,YOLOMBO,ANTIOQUIA,.039290156
05893,YONDO,ANTIOQUIA,.07123635
05895,ZARAGOZA,ANTIOQUIA,.069523446
05004,ABRIAQUI,ANTIOQUIA,0
05315,GUADALUPE,ANTIOQUIA,0
05467,MONTEBELLO,ANTIOQUIA,0
05501,OLAYA,ANTIOQUIA,0
05647,SAN ANDRES DE CUERQUIA,ANTIOQUIA,0
05842,URAMITA,ANTIOQUIA,0
