CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_total
05679,SANTA BARBARA,21,ANTIOQUIA,.075957611
05686,SANTA ROSA DE OSOS,40,ANTIOQUIA,.10323113
05690,SANTO DOMINGO,11,ANTIOQUIA,.084811099
05697,EL SANTUARIO,45,ANTIOQUIA,.11904447
05736,SEGOVIA,21,ANTIOQUIA,.051721592
05756,SONSON,39,ANTIOQUIA,.10208622
05761,SOPETRAN,10,ANTIOQUIA,.062699854
05789,TAMESIS,8,ANTIOQUIA,.046978682
05790,TARAZA,21,ANTIOQUIA,.072729789
05792,TARSO,7,ANTIOQUIA,.10752688
05809,TITIRIBI,5,ANTIOQUIA,.044408917
05819,TOLEDO,5,ANTIOQUIA,.095693782
05837,TURBO,45,ANTIOQUIA,.033725549
05847,URRAO,9,ANTIOQUIA,.028226439
05854,VALDIVIA,14,ANTIOQUIA,.095916688
05856,VALPARAISO,3,ANTIOQUIA,.043630019
05858,VEGACHI,13,ANTIOQUIA,.10439251
05861,VENECIA,8,ANTIOQUIA,.065530799
05873,VIGIA DEL FUERTE,1,ANTIOQUIA,.010329511
05885,YALI,3,ANTIOQUIA,.03737852
05887,YARUMAL,59,ANTIOQUIA,.13378078
05890,YOLOMBO,12,ANTIOQUIA,.050367262
05893,YONDO,11,ANTIOQUIA,.053470738
05895,ZARAGOZA,15,ANTIOQUIA,.057716727
05004,ABRIAQUI,0,ANTIOQUIA,0
05315,GUADALUPE,0,ANTIOQUIA,0
05467,MONTEBELLO,0,ANTIOQUIA,0
05842,URAMITA,0,ANTIOQUIA,0
