CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,edad_1529,porcentaje_suicidio_1529
05873,VIGIA DEL FUERTE,1,ANTIOQUIA,2376,.042087544
05885,YALI,2,ANTIOQUIA,1762,.11350738
05887,YARUMAL,42,ANTIOQUIA,10747,.39080673
05890,YOLOMBO,10,ANTIOQUIA,4963,.20149103
05893,YONDO,8,ANTIOQUIA,4630,.17278618
05895,ZARAGOZA,10,ANTIOQUIA,6293,.15890673
05004,ABRIAQUI,0,ANTIOQUIA,611,0
05040,ANORI,0,ANTIOQUIA,5092,0
05206,CONCEPCION,0,ANTIOQUIA,936,0
05315,GUADALUPE,0,ANTIOQUIA,1584,0
05467,MONTEBELLO,0,ANTIOQUIA,1259,0
05501,OLAYA,0,ANTIOQUIA,624,0
05647,SAN ANDRES DE CUERQUIA,0,ANTIOQUIA,1777,0
05842,URAMITA,0,ANTIOQUIA,1601,0
