CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,porcentaje_suicidio_mujeres
05212,COPACABANA,64,ANTIOQUIA,.14893419
05792,TARSO,5,ANTIOQUIA,.15243903
05819,TOLEDO,4,ANTIOQUIA,.16280016
05313,GRANADA,9,ANTIOQUIA,.16663581
05887,YARUMAL,41,ANTIOQUIA,.18099947
05145,CARAMANTA,5,ANTIOQUIA,.20308693
05615,RIONEGRO,166,ANTIOQUIA,.22328034
05425,MACEO,11,ANTIOQUIA,.25165865
05576,PUEBLORRICO,12,ANTIOQUIA,.26269701
05353,HISPANIA,8,ANTIOQUIA,.27548209
05400,LA UNION,33,ANTIOQUIA,.28282481
05321,GUATAPE,15,ANTIOQUIA,.3267262
05002,ABEJORRAL,38,ANTIOQUIA,.37401575
