CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,id_data,variable,id_nivel,id_time,time,ct_type
05642,SALGAR,5,1,saldo,municipal,1,2023,ninguno
05647,SAN ANDRES DE CUERQUIA,1,1,saldo,municipal,1,2023,ninguno
05649,SAN CARLOS,10,1,saldo,municipal,1,2023,ninguno
05652,SAN FRANCISCO,3,1,saldo,municipal,1,2023,ninguno
05656,SAN JERONIMO,4,1,saldo,municipal,1,2023,ninguno
05658,SAN JOSE DE LA MONTANA,2,1,saldo,municipal,1,2023,ninguno
05659,SAN JUAN DE URABA,5,1,saldo,municipal,1,2023,ninguno
05660,SAN LUIS,11,1,saldo,municipal,1,2023,ninguno
05664,SAN PEDRO DE LOS MILAGROS,14,1,saldo,municipal,1,2023,ninguno
05665,SAN PEDRO DE URABA,9,1,saldo,municipal,1,2023,ninguno
05667,SAN RAFAEL,7,1,saldo,municipal,1,2023,ninguno
05670,SAN ROQUE,6,1,saldo,municipal,1,2023,ninguno
05674,SAN VICENTE,11,1,saldo,municipal,1,2023,ninguno
05679,SANTA BARBARA,21,1,saldo,municipal,1,2023,ninguno
05686,SANTA ROSA DE OSOS,40,1,saldo,municipal,1,2023,ninguno
05690,SANTO DOMINGO,11,1,saldo,municipal,1,2023,ninguno
05697,EL SANTUARIO,45,1,saldo,municipal,1,2023,ninguno
05736,SEGOVIA,21,1,saldo,municipal,1,2023,ninguno
05756,SONSON,39,1,saldo,municipal,1,2023,ninguno
05761,SOPETRAN,10,1,saldo,municipal,1,2023,ninguno
05789,TAMESIS,8,1,saldo,municipal,1,2023,ninguno
05790,TARAZA,21,1,saldo,municipal,1,2023,ninguno
05792,TARSO,7,1,saldo,municipal,1,2023,ninguno
05809,TITIRIBI,5,1,saldo,municipal,1,2023,ninguno
05819,TOLEDO,5,1,saldo,municipal,1,2023,ninguno
05837,TURBO,45,1,saldo,municipal,1,2023,ninguno
05847,URRAO,9,1,saldo,municipal,1,2023,ninguno
05854,VALDIVIA,14,1,saldo,municipal,1,2023,ninguno
05856,VALPARAISO,3,1,saldo,municipal,1,2023,ninguno
05858,VEGACHI,13,1,saldo,municipal,1,2023,ninguno
05861,VENECIA,8,1,saldo,municipal,1,2023,ninguno
05873,VIGIA DEL FUERTE,1,1,saldo,municipal,1,2023,ninguno
05885,YALI,3,1,saldo,municipal,1,2023,ninguno
05887,YARUMAL,59,1,saldo,municipal,1,2023,ninguno
05890,YOLOMBO,12,1,saldo,municipal,1,2023,ninguno
05893,YONDO,11,1,saldo,municipal,1,2023,ninguno
05895,ZARAGOZA,15,1,saldo,municipal,1,2023,ninguno
