CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,edad_3059,porcentaje_suicidio_3059
05890,YOLOMBO,0,ANTIOQUIA,8961,0
05364,JARDIN,0,ANTIOQUIA,5954,0
05361,ITUANGO,0,ANTIOQUIA,12047,0
05190,CISNEROS,0,ANTIOQUIA,4041,0
05310,GOMEZ PLATA,0,ANTIOQUIA,4156,0
05021,ALEJANDRIA,0,ANTIOQUIA,1856,0
05652,SAN FRANCISCO,0,ANTIOQUIA,1956,0
05585,PUERTO NARE,0,ANTIOQUIA,6230,0
05150,CAROLINA,0,ANTIOQUIA,1775,0
05086,BELMIRA,0,ANTIOQUIA,2444,0
05030,AMAGA,0,ANTIOQUIA,13302,0
05036,ANGELOPOLIS,0,ANTIOQUIA,2391,0
05467,MONTEBELLO,0,ANTIOQUIA,2725,0
05038,ANGOSTURA,0,ANTIOQUIA,4419,0
05142,CARACOLI,0,ANTIOQUIA,1821,0
05873,VIGIA DEL FUERTE,0,ANTIOQUIA,2682,0
05306,GIRALDO,0,ANTIOQUIA,2155,0
05004,ABRIAQUI,0,ANTIOQUIA,1091,0
05501,OLAYA,0,ANTIOQUIA,1252,0
05647,SAN ANDRES DE CUERQUIA,0,ANTIOQUIA,2676,0
05315,GUADALUPE,0,ANTIOQUIA,2691,0
05543,PEQUE,0,ANTIOQUIA,2932,0
05819,TOLEDO,0,ANTIOQUIA,1911,0
05475,MURINDO,0,ANTIOQUIA,1401,0
05660,SAN LUIS,0,ANTIOQUIA,4948,0
05842,URAMITA,0,ANTIOQUIA,2471,0
05665,SAN PEDRO DE URABA,1,ANTIOQUIA,11447,.0087359138
05120,CACERES,1,ANTIOQUIA,10037,.0099631362
05579,PUERTO BERRIO,2,ANTIOQUIA,16596,.012051096
05234,DABEIBA,1,ANTIOQUIA,7578,.013196094
05284,FRONTINO,1,ANTIOQUIA,7338,.013627691
05667,SAN RAFAEL,1,ANTIOQUIA,6268,.015954053
05197,COCORNA,1,ANTIOQUIA,5956,.016789792
05138,CANASGORDAS,1,ANTIOQUIA,5868,.017041581
05847,URRAO,2,ANTIOQUIA,11301,.017697548
05604,REMEDIOS,2,ANTIOQUIA,10949,.018266508
05240,EBEJICO,1,ANTIOQUIA,5053,.019790223
05690,SANTO DOMINGO,1,ANTIOQUIA,4978,.02008839
05480,MUTATA,1,ANTIOQUIA,4850,.020618556
05858,VEGACHI,1,ANTIOQUIA,4607,.021706099
05809,TITIRIBI,1,ANTIOQUIA,4497,.022237048
05411,LIBORINA,1,ANTIOQUIA,4113,.024313154
05483,NARINO,1,ANTIOQUIA,3853,.025953801
05642,SALGAR,2,ANTIOQUIA,7415,.026972353
05837,TURBO,12,ANTIOQUIA,44348,.027058717
05250,EL BAGRE,5,ANTIOQUIA,18404,.027168008
05659,SAN JUAN DE URABA,2,ANTIOQUIA,7071,.028284542
05113,BURITICA,1,ANTIOQUIA,3497,.028595939
05390,LA PINTADA,1,ANTIOQUIA,3455,.028943559
05789,TAMESIS,2,ANTIOQUIA,6890,.029027576
05031,AMALFI,3,ANTIOQUIA,10287,.029163022
05134,CAMPAMENTO,1,ANTIOQUIA,3404,.029377203
05040,ANORI,2,ANTIOQUIA,6791,.029450744
05656,SAN JERONIMO,2,ANTIOQUIA,6637,.030134097
05125,CAICEDO,1,ANTIOQUIA,3257,.030703101
05093,BETULIA,2,ANTIOQUIA,6209,.032211307
05674,SAN VICENTE,3,ANTIOQUIA,9189,.032647733
05885,YALI,1,ANTIOQUIA,3048,.032808401
05670,SAN ROQUE,3,ANTIOQUIA,8683,.034550272
05895,ZARAGOZA,3,ANTIOQUIA,8626,.034778576
05368,JERICO,2,ANTIOQUIA,5747,.034800764
05360,ITAGUI,46,ANTIOQUIA,128930,.035678275
05856,VALPARAISO,1,ANTIOQUIA,2795,.035778176
05887,YARUMAL,6,ANTIOQUIA,16630,.036079373
05042,SANTA FE DE ANTIOQUIA,4,ANTIOQUIA,10957,.036506344
05172,CHIGORODO,8,ANTIOQUIA,21738,.036801912
05101,CIUDAD BOLIVAR,4,ANTIOQUIA,10658,.037530493
05237,DONMATIAS,3,ANTIOQUIA,7930,.03783102
05308,GIRARDOTA,9,ANTIOQUIA,23747,.037899524
05282,FREDONIA,4,ANTIOQUIA,10547,.037925478
05079,BARBOSA,9,ANTIOQUIA,23366,.038517505
05861,VENECIA,2,ANTIOQUIA,5187,.038557932
05034,ANDES,7,ANTIOQUIA,18110,.038652677
05790,TARAZA,4,ANTIOQUIA,10044,.039824773
05736,SEGOVIA,6,ANTIOQUIA,14974,.040069453
05045,APARTADO,20,ANTIOQUIA,49634,.04029496
05893,YONDO,3,ANTIOQUIA,7339,.040877502
05664,SAN PEDRO DE LOS MILAGROS,4,ANTIOQUIA,9518,.042025637
