CODIGO_MUNICIPIO,NOMBRE_MPIO,casos,NOMBRE_DEPTO,edad_60,porcentaje_suicidio_60
05091,BETANIA,0,ANTIOQUIA,1802,0
05237,DONMATIAS,0,ANTIOQUIA,2952,0
05756,SONSON,0,ANTIOQUIA,6445,0
05313,GRANADA,0,ANTIOQUIA,1907,0
05148,EL CARMEN DE VIBORAL,0,ANTIOQUIA,8623,0
05059,ARMENIA,0,ANTIOQUIA,1391,0
05495,NECHI,0,ANTIOQUIA,2922,0
05664,SAN PEDRO DE LOS MILAGROS,0,ANTIOQUIA,3081,0
05652,SAN FRANCISCO,0,ANTIOQUIA,1067,0
05543,PEQUE,0,ANTIOQUIA,1221,0
05890,YOLOMBO,0,ANTIOQUIA,4469,0
05264,ENTRERRIOS,0,ANTIOQUIA,1509,0
05129,CALDAS,0,ANTIOQUIA,14995,0
05658,SAN JOSE DE LA MONTANA,0,ANTIOQUIA,457,0
05411,LIBORINA,0,ANTIOQUIA,2103,0
05893,YONDO,0,ANTIOQUIA,2186,0
05150,CAROLINA,0,ANTIOQUIA,961,0
05697,EL SANTUARIO,0,ANTIOQUIA,5724,0
05475,MURINDO,0,ANTIOQUIA,322,0
05467,MONTEBELLO,0,ANTIOQUIA,1640,0
05042,SANTA FE DE ANTIOQUIA,0,ANTIOQUIA,4339,0
05172,CHIGORODO,0,ANTIOQUIA,5705,0
05670,SAN ROQUE,0,ANTIOQUIA,3923,0
05425,MACEO,0,ANTIOQUIA,1530,0
05113,BURITICA,0,ANTIOQUIA,1395,0
05649,SAN CARLOS,0,ANTIOQUIA,3078,0
05380,LA ESTRELLA,0,ANTIOQUIA,12214,0
05086,BELMIRA,0,ANTIOQUIA,828,0
05044,ANZA,0,ANTIOQUIA,1102,0
05585,PUERTO NARE,0,ANTIOQUIA,2531,0
05368,JERICO,0,ANTIOQUIA,3363,0
05674,SAN VICENTE,0,ANTIOQUIA,4005,0
05483,NARINO,0,ANTIOQUIA,2114,0
05647,SAN ANDRES DE CUERQUIA,0,ANTIOQUIA,1049,0
05789,TAMESIS,0,ANTIOQUIA,3899,0
05125,CAICEDO,0,ANTIOQUIA,1153,0
05107,BRICENO,0,ANTIOQUIA,964,0
05690,SANTO DOMINGO,0,ANTIOQUIA,2630,0
05145,CARAMANTA,0,ANTIOQUIA,1098,0
05030,AMAGA,0,ANTIOQUIA,5331,0
05197,COCORNA,0,ANTIOQUIA,3142,0
05134,CAMPAMENTO,0,ANTIOQUIA,1383,0
05147,CAREPA,0,ANTIOQUIA,4050,0
05656,SAN JERONIMO,0,ANTIOQUIA,2660,0
05607,EL RETIRO,0,ANTIOQUIA,4868,0
05736,SEGOVIA,0,ANTIOQUIA,3820,0
05101,CIUDAD BOLIVAR,0,ANTIOQUIA,5050,0
05206,CONCEPCION,0,ANTIOQUIA,1093,0
05040,ANORI,0,ANTIOQUIA,2014,0
05895,ZARAGOZA,0,ANTIOQUIA,2423,0
05628,SABANALARGA,0,ANTIOQUIA,1335,0
05209,CONCORDIA,0,ANTIOQUIA,4096,0
05120,CACERES,0,ANTIOQUIA,3244,0
05051,ARBOLETES,0,ANTIOQUIA,4188,0
05659,SAN JUAN DE URABA,0,ANTIOQUIA,2265,0
05002,ABEJORRAL,0,ANTIOQUIA,4456,0
05234,DABEIBA,0,ANTIOQUIA,2838,0
05021,ALEJANDRIA,0,ANTIOQUIA,952,0
05036,ANGELOPOLIS,0,ANTIOQUIA,1141,0
05873,VIGIA DEL FUERTE,0,ANTIOQUIA,904,0
05885,YALI,0,ANTIOQUIA,1285,0
05142,CARACOLI,0,ANTIOQUIA,1068,0
05310,GOMEZ PLATA,0,ANTIOQUIA,2203,0
05055,ARGELIA,0,ANTIOQUIA,1362,0
05576,PUEBLORRICO,0,ANTIOQUIA,1835,0
05842,URAMITA,0,ANTIOQUIA,1176,0
05361,ITUANGO,0,ANTIOQUIA,3214,0
05761,SOPETRAN,0,ANTIOQUIA,2997,0
05390,LA PINTADA,0,ANTIOQUIA,1110,0
05038,ANGOSTURA,0,ANTIOQUIA,1843,0
05790,TARAZA,0,ANTIOQUIA,2768,0
05347,HELICONIA,0,ANTIOQUIA,1288,0
05792,TARSO,0,ANTIOQUIA,1155,0
05004,ABRIAQUI,0,ANTIOQUIA,519,0
05667,SAN RAFAEL,0,ANTIOQUIA,3147,0
05579,PUERTO BERRIO,0,ANTIOQUIA,5931,0
05819,TOLEDO,0,ANTIOQUIA,747,0
05642,SALGAR,0,ANTIOQUIA,3272,0
05480,MUTATA,0,ANTIOQUIA,1321,0
05240,EBEJICO,0,ANTIOQUIA,3176,0
05250,EL BAGRE,0,ANTIOQUIA,5211,0
05306,GIRALDO,0,ANTIOQUIA,909,0
05887,YARUMAL,0,ANTIOQUIA,6173,0
05315,GUADALUPE,0,ANTIOQUIA,1081,0
05854,VALDIVIA,0,ANTIOQUIA,1653,0
05138,CANASGORDAS,0,ANTIOQUIA,3015,0
05353,HISPANIA,0,ANTIOQUIA,1157,0
05856,VALPARAISO,0,ANTIOQUIA,1491,0
05501,OLAYA,0,ANTIOQUIA,686,0
05858,VEGACHI,0,ANTIOQUIA,1756,0
05837,TURBO,1,ANTIOQUIA,11957,.0083633019
05376,LA CEJA,1,ANTIOQUIA,11675,.0085653104
05360,ITAGUI,5,ANTIOQUIA,49875,.010025063
05088,BELLO,8,ANTIOQUIA,77243,.010356925
05079,BARBOSA,1,ANTIOQUIA,9572,.010447137
05631,SABANETA,2,ANTIOQUIA,14863,.013456234
05679,SANTA BARBARA,1,ANTIOQUIA,6420,.015576324
05001,MEDELLIN,73,ANTIOQUIA,437230,.016696017
05282,FREDONIA,1,ANTIOQUIA,5858,.017070673
05045,APARTADO,2,ANTIOQUIA,11108,.018005041
05318,GUARNE,2,ANTIOQUIA,10621,.018830618
05154,CAUCASIA,2,ANTIOQUIA,10483,.019078508
05490,NECOCLI,1,ANTIOQUIA,4666,.021431632
05847,URRAO,1,ANTIOQUIA,4617,.021659086
05308,GIRARDOTA,2,ANTIOQUIA,8980,.022271715
05541,EL PENOL,1,ANTIOQUIA,4148,.024108004
05034,ANDES,2,ANTIOQUIA,7878,.025387155
05665,SAN PEDRO DE URABA,1,ANTIOQUIA,3896,.025667351
05266,ENVIGADO,14,ANTIOQUIA,53279,.026276769
05031,AMALFI,1,ANTIOQUIA,3770,.026525199
05364,JARDIN,1,ANTIOQUIA,3290,.030395137
05440,MARINILLA,3,ANTIOQUIA,9749,.030772386
05284,FRONTINO,1,ANTIOQUIA,3133,.031918291
05615,RIONEGRO,8,ANTIOQUIA,24353,.032850161
05604,REMEDIOS,1,ANTIOQUIA,2959,.0337952
05212,COPACABANA,5,ANTIOQUIA,14089,.03548868
05861,VENECIA,1,ANTIOQUIA,2681,.037299514
05809,TITIRIBI,1,ANTIOQUIA,2642,.037850112
05093,BETULIA,1,ANTIOQUIA,2265,.04415011
05591,PUERTO TRIUNFO,1,ANTIOQUIA,2034,.04916421
05660,SAN LUIS,1,ANTIOQUIA,1922,.052029137
05400,LA UNION,2,ANTIOQUIA,3378,.059206631
05321,GUATAPE,1,ANTIOQUIA,1655,.060422961
05686,SANTA ROSA DE OSOS,3,ANTIOQUIA,4796,.062552124
05190,CISNEROS,2,ANTIOQUIA,2139,.093501635
