nivl_vl,id_nivl,nvl_lbl,X,Y,code5,depcode,nvl_vl_,nvl_l_2,nvl_label,idx1_servicio1,idx2_Adultez1,idx2_Adultez2,idx2_Adultez3,idx3_climatico1,idx3_climatico2,idx4_Capacidad1,idx4_Capacidad2,idx5_viviendas1,idx5_viviendas2,idx6_crecimiento1,idx6_crecimiento2,idx6_crecimiento3,idx7_gini1,idx8_demografica1,idx9_infnin1,idx9_infnin2,idx9_infnin3,idx9_infnin4,idx10_juventud1,idx10_juventud2,idx10_juventud3,idx10_juventud4,idx11_pobreza1,idx11_pobreza2,idx12_salud1,idx12_salud2,idx13_saludmental1,idx13_saludmental2,idx14_seguridad1,idx14_seguridad2,idx15_vejez1,sub_grp
05001,mpio,Medellín,-75.6127999092285,6.258851646871735,05001,05,5001,Med,medellin,0.7820311066757324,1.2939272992128878,-0.8967279335840692,0.19850440655628357,0.3370990310731764,-0.34663598803916745,2.93105203181368,4.415060871745471,0.20970175130415397,0.2701468018072608,-0.8769162086846003,1.2320313719584248,0.7538520178454676,1.020082389896453,0.552427731737467,0.44355856934793775,0.1897770490580633,-0.21558863182962262,-0.32285007000831945,0.8628130054706225,-1.0275939845684956,-0.6889492802680894,-0.5356116090600134,-0.859217144381918,-1.0845763527072416,-0.4270941334077987,0.9213228725213547,0.10827289533416665,-0.026901377339402174,-1.5726419888106742,2.066485962284577,0.34462466428779637,Consolidada - Alto
05079,mpio,Barbosa,-75.32786343666069,6.443319090375343,05079,05,5079,Bar,barbosa,-2.425997880485935,2.5163306310576252,0.3895882809862079,-1.3175809780103065,-0.42872277636639905,0.44166406990373325,-1.103744974609279,0.014655343915932014,-0.49380318370710025,-1.384838339597126,0.2808386544080349,-0.03263021663442319,0.39018139603049934,-0.37496491741420446,-0.08318514271724098,-1.3058353932851934,1.310343375486137,-0.29783213391111735,0.6017223153357515,-1.5415893116639041,0.47041203750671845,1.2558277944692386,0.1245491418367411,-0.7399169282832997,-1.2274519603906626,0.12763083311919068,0.38048069822165487,-0.5571179148454455,-0.5333628623265184,-0.9528681897508673,-0.7060686210217757,0.7018374440083868,Consolidada - Medio
05088,mpio,Bello,-75.59025592930725,6.359736868390984,05088,05,5088,Bel,bello,0.7970162012518922,1.2031429593935534,-0.5346271454078123,0.015007003180163117,-0.7536571086082268,-1.2307786850867797,-0.5674753354665707,-0.2652163917145293,-2.2990343761376035,-0.3723495263123034,-1.2116433012863486,0.11146664495150671,-0.008357962299918,0.2853197297332639,0.6729987534982059,0.1939912243257052,0.8956110480072802,-0.7194431830135002,-0.026862956969653733,-0.07956282279691176,-0.27877389352260773,1.0876219493014185,0.2859649183830711,-1.3636837748326316,-0.4704091208692824,-0.4745685748183154,-0.04969058616169517,-0.20154000849066445,0.1941220957217853,-0.3266306012977754,0.19704431588156404,-1.2838722965378369,Consolidada - Alto
05129,mpio,Caldas,-75.62741770351639,6.053784062121476,05129,05,5129,Cal,caldas,0.8641766615826866,0.1396281797814441,-0.9892798234164497,2.0883544013006494,0.28680260537921287,-1.901699202863841,-0.37196072853567413,-0.2970566260253478,-0.4844453864057359,-1.2220977901877736,-0.1507988643999474,0.34031911776454327,1.3229960424816851,1.19459760533955,0.7454271230749019,0.5516643145852413,-0.016118816810849944,-0.4533758599857934,-1.1597280200980504,0.3835449152996683,-1.5633103936068857,1.0160186936888778,-1.5841051178606749,0.40519148855863457,0.01608880884398464,-0.9767179195470594,-0.4966552091454072,-1.3827191708625826,-1.0499558379350855,-0.5026641417008603,-0.6266636685469514,0.5408361526229806,Consolidada - Alto
05148,mpio,El Carmen De Viboral,-75.26349613727776,5.978210403191516,05148,05,5148,El,el_carmen_de_viboral,0.5705791853315376,-1.3867689855927148,1.0304784420939697,0.18410963386684193,-1.4297645744055012,-0.25680377189420067,0.03896600588798757,-0.18067495372546502,-0.390082136902375,0.05920179185089317,-0.7288627871736039,-0.06986986844972391,-2.2190116646000004,-1.5704850583960108,-0.10297057613643494,-1.0149542862983114,0.5948825332248182,0.8575040526816367,-0.5512411292176493,-0.0033089506442320845,-0.0020600309570453705,0.8935885687769755,-0.23151023222078818,0.8126847698398691,-0.5253624758325746,0.4204795930481336,0.035376229363326864,-0.11368655357982574,-0.5933447975045621,-1.0559657444532864,1.0553122627573233,-1.3486296205439747,Consolidada - Medio
05212,mpio,Copacabana,-75.50078768363375,6.351711758645678,05212,05,5212,Cop,copacabana,0.07738159261219166,-0.8036720044145613,-0.44374306377185985,1.5116038873656563,0.057856664795106816,0.41359343950532407,-0.43324969965886073,-0.2671487084888486,-1.264016782753894,-1.5663101900127732,-0.4011396321788395,0.8432490285890311,0.7407719195587387,-1.4954921286058327,0.690965172121015,-0.29629173393382785,-0.4541156047942335,-0.028964737647929593,0.6120592976477403,0.39455334890922944,0.3990004868826853,-0.30440523260467517,0.585774069909968,-0.4052616788913009,-0.9336470438322358,-0.11663024108411728,-0.013333430249201465,-0.7145564561598144,0.34699039237837237,-0.3512473232427855,-0.10380843862143642,0.6929082022703718,Consolidada - Alto
05237,mpio,Donmatías,-75.36443323910986,6.505640968190662,05237,05,5237,Don,donmatias,-2.2772046006724804,-0.31000532344584913,-1.8854840940239634,0.42822438615255715,-0.5186781554955938,-0.3554552385823597,-0.06522002244051231,-0.14561727620362402,0.5058228424014264,-1.1684391703335826,-0.3664526432483001,-0.17946104104937197,1.1416573200890094,-0.9091997233046105,-0.8897535958228395,0.7475259784475703,-0.6098447072730552,-2.427059471236581,-2.2699084144444828,-1.7382859180715318,-1.9235434254101258,1.8563493577346788,-3.0537479797022247,-0.816038064461808,-1.159541489845721,-0.2905760119717422,-0.8353383102317913,-0.06022727200446111,-1.8138347659960745,0.35004912238246483,0.5265822263854003,-0.9529165573955584,Consolidada - Alto
05264,mpio,Entrerríos,-75.56045049867288,6.594134234233711,05264,05,5264,Ent,entrerrios,-0.43541941447355464,0.021814463422668164,1.4657248483731824,-1.2383196069021463,-0.6312199042151921,-0.6278332418804032,-0.893256130359012,0.03746271892104722,1.178609435723322,-0.03687649587602584,-0.7689454489064725,-0.16590186630487644,1.3122272654667293,-0.5745496341233419,-0.3193101766371206,-1.546502805907696,1.2906018119071005,0.7958660160713356,-1.205728615984516,-0.09570540689082019,2.039363534721254,0.49007981398412526,1.5875655023031758,0.24139399066826545,0.4101004309273075,0.011032210070233583,-0.4874834972524096,0.31179271684483506,-0.18310477721436888,0.7450222599009624,-0.6753418653341214,-1.8346713619084338,Consolidada - Medio
05266,mpio,Envigado,-75.54426721678229,6.153270262995447,05266,05,5266,Env,envigado,0.4734843447012655,-0.8350709740101951,-0.483517991155771,0.2830377867403723,0.6947015974165426,0.05640322820658019,0.9421627041166607,-0.45367050481942395,1.6908079732469914,0.9924899664579797,-0.820013024365773,1.6045086115996772,-0.4690953792694911,1.529252408826315,0.7437959990837774,-0.9091637326695468,0.14615218958822881,1.0758045228843902,0.9684602534037448,1.5883336170827465,0.113697942970549,-0.4047032268390281,0.19835700675537904,1.9091026144214909,0.8108616503782724,0.43689537411475204,0.49348276937123325,0.17638721143198832,0.571577446653834,1.16398751009371,-1.1961945303367283,1.96036784281024,Consolidada - Bajo
05308,mpio,Girardota,-75.44547717784441,6.380937720313014,05308,05,5308,Gir,girardota,-1.3670881005710833,0.9525221180896889,-0.9390721493646909,0.7236973511725275,-1.1747635441297772,-0.08934215497879122,-0.7277236486130594,-0.17442184683949188,-0.2929718765176683,-0.8942494409604924,-1.2482594060145389,0.6032252819790539,0.06185607294873297,0.46752770276124433,0.46752102111549665,-0.45428323665611015,1.1768944540544974,-2.0824016053682985,0.12852009896798608,-0.24232447958988654,0.052820261607810434,0.901493821838563,0.32231312194228373,-0.20484585561649613,0.3528164418214382,0.3275420831196952,0.44440581943444674,-0.9713167825555051,-0.7564185935108279,-0.4497781754012663,-1.450547055695797,0.23591916103479485,Consolidada - Alto
