nivl_vl,id_nivl,nvl_lbl,X,Y,nvl_lbl_2,nvl_label,idx1_servicio1,idx2_Adultez1,idx2_Adultez2,idx2_Adultez3,idx3_climatico1,idx3_climatico2,idx4_Capacidad1,idx4_Capacidad2,idx5_viviendas1,idx5_viviendas2,idx6_crecimiento1,idx6_crecimiento2,idx6_crecimiento3,idx7_gini1,idx8_demografica1,idx9_infnin1,idx9_infnin2,idx9_infnin3,idx9_infnin4,idx10_juventud1,idx10_juventud2,idx10_juventud3,idx10_juventud4,idx11_pobreza1,idx11_pobreza2,idx12_salud1,idx12_salud2,idx13_saludmental1,idx13_saludmental2,idx14_seguridad1,idx14_seguridad2,idx15_vejez1,sub_grp,centroid,x_centroid,y_centroid
05101,mpio,Ciudad Bolívar,-76.00902572747876,5.840445938385701,Ciu,ciudad_bolivar,0.21878797232755617,-0.3577200172479783,0.17693403508690336,-0.8950145612951352,0.5526071967913225,-1.6385831987300954,0.7131056288010954,-0.3900899756338845,0.801872761396454,1.0390729149336697,0.1389754857626794,0.7295791207045328,0.09132955431675474,-1.4463012666005455,0.28613290980453393,0.7354357527184341,-0.5200880407711115,-1.506999823069961,0.3089022986005645,0.7664474463623043,-2.059759694089141,1.5948141023114728,-0.35014276332444766,0.8173553742726816,-0.7051796485249303,0.592007709970313,1.0107844513472666,-0.5946703589890519,0.6340151050283139,-0.7068888432746039,0.9825743157873935,0.06471885741823598,Transición - Medio,"c(-76.0106531886659, 5.84099461730698)",-76.01065318866587,5.840994617306977
05107,mpio,Briceño,-75.56490046652242,7.110452631076573,Bri,briceno,0.16290897230707913,0.06709215208775139,1.2986247780831293,1.3600539883246892,-0.7921718420706527,0.03385671787748043,-0.23260740478568986,-0.04633048880299639,-3.3884065984416085,-2.480517247118829,-0.7410854940935663,-0.5451679815908628,-0.5143060346536458,0.7343735081070979,-0.2621193683778051,-0.5667287421683453,0.40232295566425297,0.5023617459388042,0.1556324646833485,-2.349295683534538,0.6867540160553763,-0.4461599545356353,-2.959080182582511,-1.7313452805463196,0.833649471418148,-0.06810079309655458,0.5187982433663527,-0.07146808426779089,-0.30031399394945507,-3.553845018937283,1.1864534922075867,-1.9878745639203272,Transición - Bajo,"c(-75.5622391073871, 7.11178448728901)",-75.56223910738713,7.111784487289015
05113,mpio,Buriticá,-75.91248836264813,6.809453076648512,Bur,buritica,0.396500850740422,-0.10003428679622504,-0.3826284922197852,-0.20544701541899357,-3.2427458206688256,-0.8678551982348837,1.6223835409079903,-1.4219691438412005,-1.087295511391669,-0.767186340044816,-1.2156479050268532,0.5027312741283052,-1.0026903248038002,-1.5216290593221808,0.02855941044657684,0.8170078065304853,0.7533986813708053,-0.5973287308732994,-0.15492521351852837,-0.7034657303809073,-1.2704432041569487,1.1479251520785165,-1.658373550900826,1.5879922333481036,0.900105758329152,-0.7681827932601747,-1.2535339806565788,-0.2827710306183225,-0.3100509015381087,0.07036977887879999,-1.002296466232317,-1.0925109754192392,Transición - Bajo,"c(-75.9120630878672, 6.8090534929076)",-75.91206308786722,6.809053492907604
05093,mpio,Betulia,-75.9571432806565,6.184841691374015,Bet,betulia,0.3924767799727382,-0.5931821065581122,0.789427653742617,-0.5491558925302938,-1.4460133870849023,-1.8613032964759886,-0.7470665091967953,0.6812983423154432,-1.6766112131026056,-2.068558450786446,0.6644153433274674,-1.1011718937287398,-0.13258239385830145,-0.6438986897315238,0.4698936653174319,0.27238672630069666,-0.07437352716214593,1.364011717887894,-0.5261783617756487,-1.7542679552421192,0.10812979405480139,0.3568536920316768,-0.54031201855795,-0.13913677109322903,2.194951566392466,0.5932639080867451,-0.004437954966817233,0.15650822918241195,0.858613524736395,-0.36085396412999504,0.5513142268913669,-1.1167667765273934,Transición - Bajo,"c(-75.9564924825841, 6.18578265004494)",-75.9564924825841,6.185782650044938
05091,mpio,Betania,-75.98391538682482,5.726633681705867,Bet,betania,0.4252469296899142,0.5419545144408572,0.6950751222117836,-0.18799289231242733,-0.02398033704777525,-2.164158325897304,0.5625491724036557,-0.4478261560360156,0.49633884253292015,-0.9591512527235408,1.3843484060206674,-1.5092413964836502,-0.3835896069224039,-1.2599473780897623,-0.09251026647895769,0.2429076015851142,0.5360764692348167,-1.706439543080939,0.338306882641405,-0.600673342570355,1.7213878025234288,0.40122590557002485,0.4926184773364001,-0.3177509478684982,-0.09519127324984399,0.42496872083769094,0.11744296661952551,-1.4778650794325867,0.9356919940965137,-0.6936927133240677,0.18323880953160843,-0.612772889401547,Transición - Bajo,"c(-75.9868924133274, 5.7270822158155)",-75.98689241332744,5.727082215815498
05086,mpio,Belmira,-75.65593854553747,6.655416376409969,Bel,belmira,0.017597337255080673,2.092280008809558,1.227268388114754,-1.6843801178960167,-0.4528865950542292,0.2140623315549101,0.18766831517020835,-0.17499924892319807,0.819128726261323,-0.13220494275750957,-0.5719183595841902,0.17578946710539176,-0.40206363975156656,-0.18469332144157338,0.8023098065616793,-0.788830747273426,0.09355666683775737,0.7005363677442599,-1.158640992949315,-0.33277296854978755,0.05462244808006219,-1.0579052226230257,0.15800502531116836,0.29846766731369223,-0.7615570823528617,0.6655514917730398,0.07337308527622337,-1.0003859771723476,1.1015851171044237,0.41057270453572686,-1.1067233638225822,-1.1778072288310162,Transición - Medio,"c(-75.6538472845764, 6.65365103127381)",-75.65384728457644,6.653651031273813
05079,mpio,Barbosa,-75.32786343666069,6.443319090375343,Bar,barbosa,-0.6860183452365438,1.271765092097799,-1.3182817980949968,-1.9163789566824514,0.24748316011379984,0.7700455036969964,0.4878820875605479,-0.47464497598711686,0.7173305150885586,0.1194605928408011,2.225903102549833,1.312804739588628,-0.5985919755728589,-0.732102260555066,1.8748188819263698,-0.18237510795012327,-0.9452910766980822,-0.15634924954635415,0.5303647883121723,0.4188735870908164,-0.4449769202879583,0.5178736208648003,-0.19875451984248402,0.8228092172389494,-1.6860120162677914,0.7190563286761029,2.5458942087868954,0.016083073044701985,0.31385370797630374,0.2006301852253028,0.6812879115485374,0.6923201871098846,Transición - Alto,"c(-75.3292446080347, 6.44341844651932)",-75.32924460803471,6.443418446519324
05059,mpio,Armenia,-75.80864705689626,6.160281593099016,Arm,armenia,0.6163520304423918,-0.829561308558573,-1.0444636792863262,0.0075968651945957436,0.5170137387293972,1.3426685991883498,0.5268654850580875,-0.5325478606577893,0.8116310907319212,0.8502047444395066,-1.0227104705291739,-0.41562977710161736,4.990764367245033,-0.8996446274829312,-1.5297794829585123,-2.8482702161223563,1.7890007545567053,-0.3321451310929877,1.4961844914487044,1.6985631087942445,0.23831075329967755,2.670829715507786,2.6636630975505886,1.219254666439765,0.5766273043012355,0.6646796370055,0.27560471588421565,-1.1617150984127504,1.0311997491115732,1.00283261536494,3.7487013270139964,1.7650895987284163,Transición - Alto,"c(-75.8099548150214, 6.16368229572242)",-75.80995481502137,6.163682295722418
05055,mpio,Argelia,-75.09746529951609,5.708071781632922,Arg,argelia,0.7041194445194722,-1.749878887370134,0.28088842706652173,0.7315705038058357,-0.02278860038288293,-0.11370281365786754,-0.6474305667997445,0.7163674373941681,-0.633833956791492,-1.8267668603420169,-1.143254054124706,-0.8629728658207111,-1.561291925156385,0.44322287941038996,-1.2004259612359414,0.21655239925699027,-0.32530065492703747,0.9206565733149713,-0.5103492963134781,-0.6216449343468448,0.4954336982002356,0.4225686892569347,-0.5362730546705048,-2.1880139379596644,-0.7522415071869238,0.33935523957608593,0.4592377111707532,0.3306301987736057,-0.02180131287388554,-1.6801885935210168,0.5236350602383233,-0.7341734370476197,Transición - Bajo,"c(-75.0947006788276, 5.70811867997983)",-75.09470067882755,5.708118679979832
05044,mpio,Anzá,-75.91231309090341,6.305861557837838,Anz,anza,-1.6802026557879661,-1.653544354424064,0.8738136326371694,-0.7420109679763764,-2.9520028744633513,-0.8891107171111339,-0.4129604597725147,0.4088242213120891,-0.003235330084178232,1.0168979812278103,0.09063215273403862,0.22570770378073685,-0.4951642367851285,0.5506781416278488,0.05807875052069561,0.528650963165388,-0.3131825220472758,-0.6027566573342839,-0.9753884993398271,-1.4257346531312294,0.28641936341286733,-0.2677006193487103,-0.5729814118503649,0.6774259131383082,2.0191054187889437,-0.9081230580607798,-1.6810288078991744,-0.15837485005660087,0.45790388858112135,0.12139855355308528,0.07021251821857986,-0.6396957106161828,Transición - Bajo,"c(-75.9125932284879, 6.30803786483438)",-75.91259322848788,6.308037864834383
