nivl_vl,id_nivl,nvl_lbl,X,Y,nvl_lbl_2,nvl_label,idx1_servicio1,idx2_Adultez1,idx2_Adultez2,idx2_Adultez3,idx3_climatico1,idx3_climatico2,idx4_Capacidad1,idx4_Capacidad2,idx5_viviendas1,idx5_viviendas2,idx6_crecimiento1,idx6_crecimiento2,idx6_crecimiento3,idx7_gini1,idx8_demografica1,idx9_infnin1,idx9_infnin2,idx9_infnin3,idx9_infnin4,idx10_juventud1,idx10_juventud2,idx10_juventud3,idx10_juventud4,idx11_pobreza1,idx11_pobreza2,idx12_salud1,idx12_salud2,idx13_saludmental1,idx13_saludmental2,idx14_seguridad1,idx14_seguridad2,idx15_vejez1,sub_grp,centroid,x_centroid,y_centroid
05854,mpio,Valdivia,-75.40013811604481,7.265432299206812,Val,valdivia,0.3523522833266458,-0.6968290357846461,1.01633711637989,0.5616408440290432,0.41166155773057633,-0.17349949466754594,0.10637506414749183,-0.06870516872279114,-0.6224303316049435,-1.6017992263575003,-1.0727872545246273,-0.037363031153271435,-0.29448337662206686,2.779662823280542,-0.20000189493251597,0.28138350470883483,0.9871152425362882,-0.2771128508247949,-2.2973418618760166,-1.1017506375494956,0.7883757734999576,-0.1741998919257942,0.5916765468851473,-0.3118311969690523,0.4153165133437991,-1.3405759403241884,-3.8956678766092843,0.9708529166678719,-0.25893172138424864,-3.2134746645399606,-0.29988013223960075,-1.058879114899041,Vulnerable - Medio,"c(-75.4009546280613, 7.26539130472299)",-75.40095462806134,7.2653913047229945
05842,mpio,Uramita,-76.13167195630004,6.914085565062334,Ura,uramita,0.1492474234043743,-0.37155818881304353,0.4249269131017681,1.602996697035698,-0.96427322868782706,0.21438383767446387,-1.6828691421693367,0.5349101500053428,-2.0314327267796837,-2.6877998302175983,-0.4024970923595644,-0.9122879962599738,0.023333900918059848,0.13964419950907825,-1.1606203799096244,0.10014304026957369,0.16206611195985027,-0.19702828389056,-0.31593366417729196,-1.2416362097701392,-1.9969482684860704,2.4328216341416993,-2.6022558966794804,-2.1458204729899144,1.4126816186864488,-0.9290773303229998,0.5008749436398746,-1.3929040725388901,-1.09104451663413,0.2621005895533018,-1.1949803504154635,-0.24147514291103508,Vulnerable - Alto,"c(-76.1331904861589, 6.91391694885669)",-76.1331904861589,6.913916948856692
05837,mpio,Turbo,-76.72353267215297,8.000541285943282,Tur,turbo,0.3825039253928211,3.2749221745577204,-0.9204163116699845,1.8218550721876188,-0.30829080016612503,-0.4597236783834957,-0.708739442640927,0.27777366263702563,-2.2514790722423657,1.0825063118794578,-1.2184942132677257,0.008055422810885907,-0.4882864524885543,0.14423277570317186,-0.5393207774473031,0.6587882420930327,-0.04384465606942731,0.611949840135366,0.1791810209567031,-0.2387368664910864,-1.5840982253003608,-2.3588973786288374,1.7075212676115379,-1.7295259695025,-1.1946733517799781,-0.6492490440128653,0.0705731900088667,-1.292962990606258,0.4582492050786535,-0.8523036866296982,1.2694518831084776,-1.7435978250061055,Vulnerable - Alto,"c(-76.7240424700428, 7.9979749159222)",-76.72404247004279,7.997974915922195
05790,mpio,Tarazá,-75.40013930102191,7.48734383550283,Tar,taraza,0.5599211073104724,-0.5520266357084309,-0.6319414434169758,1.3424597028028549,0.3901934334779037,-0.5437948003719979,-1.04910560849998,0.34105743391083293,-1.1004180549801055,-1.2491391193827102,-0.9911387148950909,0.07062771206139787,-0.09215852701485654,1.2917778967876339,-0.5633256766335393,0.35020635777144565,0.45149447670458526,-1.705764145061318,0.42382149959801657,-0.7521741143735777,-1.2137219951154408,0.7747080327190721,0.07222322426562477,-1.43583552835357,-0.14605450173518908,-1.0490850635662488,-1.120377052616548,-0.6013379129848098,0.38848384392040053,-2.420448481858328,-0.839178441423017,-1.7044195523289158,Vulnerable - Alto,"c(-75.4018598212301, 7.48886022869021)",-75.40185982123015,7.488860228690206
05736,mpio,Segovia,-74.62110846338082,7.268890861637109,Seg,segovia,0.4234389842994409,0.8923804064375458,0.45857016670474043,0.9181032577413143,2.2546229896508194,-2.0417559536532934,0.5335621428448778,-0.8126389195866297,-0.9148508083666272,-1.2721163766558454,-0.3086585436600794,1.819531707821401,0.1977361637193067,-0.6769787043480936,0.6990716785639628,-0.0891512351662243,-0.3435429997705101,-0.7221792400026267,-1.1425794723561964,-1.2323868402169602,-0.23968352553159192,-0.1893279099599636,-0.5130699710190475,-0.4366492441259714,-1.014284113146873,-2.7309815182042096,-2.2702410433109166,-0.1608241004316362,0.33354024044263925,-2.3489471025891384,1.1477910337204478,-1.6641182193623065,Vulnerable - Medio,"c(-74.6216732039588, 7.26693076537449)",-74.6216732039588,7.266930765374493
05250,mpio,El Bagre,-74.66358838394656,7.702429952952268,El,el_bagre,-0.29437499542430534,0.9661983181967936,0.6609789381056093,1.4555864486398282,0.1036940770111435,-1.6664074823070856,-0.18199337541897662,-0.08764190056196146,-1.637633243787197,0.42467781715994424,-1.1025818306449797,0.5975536286837797,0.017415125520626518,1.4453885578589807,-0.7735403139636692,0.10494920586447044,0.08740197316028925,-0.42787198677836197,-0.8498012388504161,-1.195112468924074,-1.2923112480824346,-0.7651680860708707,-0.14486609566883638,-1.306636972421428,-0.5142649635008758,-3.6113590775826223,0.36308459746827104,-1.2665249330666974,0.4995164757292665,-1.2882167237204751,0.09329244232945198,-1.8332733382397313,Vulnerable - Alto,"c(-74.664276312451, 7.70458907872441)",-74.66427631245098,7.704589078724415
05172,mpio,Chigorodó,-76.6404373820565,7.631141978637091,Chi,chigorodo,0.4234389842994409,1.1489717468066192,-1.2024649745722,2.414993201162407,0.22736990794373094,0.4831582126387432,-0.18967508301447822,-0.0642853257645637,-0.18899171068316425,-0.7537405124011595,-0.8438987322240127,0.3508243891618107,-0.7749068355448703,-0.2160355874457549,0.096024532356547,0.3421899955680406,-0.2046285018385688,0.5946185648382057,0.2159007294052261,-0.895253252244019,-0.8955848483573818,0.03857993709017603,0.8113551242303677,-1.2931529599737948,-1.5837536745538978,-1.5329896601212423,0.3339433481417393,0.2598526307611701,-0.05356444705004866,-0.3419301144216913,0.0827564250564112,-1.6801529679583573,Vulnerable - Alto,"c(-76.6396350665121, 7.63166272747083)",-76.63963506651206,7.631662727470825
05154,mpio,Caucasia,-75.03518926247135,7.868438265094053,Cau,caucasia,0.40312849830721365,0.051605762477104286,-0.09889786035170509,0.8911392109673703,0.4075336230286618,-1.5626459185114652,-0.4945021555244142,0.007886635602081823,-0.19532966317388037,-0.2686725280227926,-0.5589696588283164,0.8429245705952174,0.40128400359829364,-0.15411328603674573,-0.3751678354589815,-0.27983500457634286,0.16664218294289557,0.10967165532529817,0.06091479308331655,0.5062969022106157,-0.8314162670082832,-0.18576265149322052,1.043208386644984,-0.2757039540977204,-1.1546683177282882,-0.997959860188002,0.9154077439160843,-0.12370002614562657,0.7809721186495131,-1.44335113029746,0.38641946536020627,-1.349230052260261,Vulnerable - Alto,"c(-75.0349852061349, 7.86791995066851)",-75.03498520613495,7.867919950668512
05147,mpio,Carepa,-76.65715946423613,7.788864134813334,Car,carepa,0.36250752632275945,2.652165582526863,-0.38955499698947393,-1.2826773266207634,-0.15378996889352378,-0.3416802316594181,0.09052509325182022,0.02369298825020964,0.07028744311568269,0.284461877840453,-0.4429594455908553,-0.06297288826318255,0.05955432303873176,0.5929889318191078,0.7800441813661412,0.5031664004372074,-0.6453626201978753,0.7931536436209495,0.961739858877644,-0.2587427535305098,-0.24598031431088888,-0.8521535955967615,1.6010287304510655,-1.2257905562441427,-1.291070325479745,-1.0979715038827282,-0.17813312971359993,-0.31392044603415287,0.711576178392234,0.37869412440995937,0.621935646142583,-1.8152992468469347,Vulnerable - Alto,"c(-76.6566792336526, 7.7891755336433)",-76.65667923365258,7.789175533643299
05665,mpio,San Pedro De Urabá,-76.31629273729325,8.378953443870987,San,san_pedro_de_uraba,0.24064461036939655,-0.9620409614382901,0.3528633201434919,0.7513608254704011,0.06844848310286238,-1.4174614613754333,-0.039819657042499686,-0.11544632553374383,-1.2992796007781449,0.8805122350265685,-0.9108631126300488,-1.1416883615015723,-0.9688861282267499,0.8465988456276372,-0.4743855763671967,0.01137230802429015,-0.03464341331320694,0.9313374182966779,-0.13893981077443598,-0.9468640178056827,-0.8774824331876009,-1.2802714548051932,0.1544806165596471,-2.093686933434313,-1.7782628342533564,-1.0506073138083507,-1.1407478725292683,-1.3944226570076548,0.22537633290737635,0.9538931305742335,-1.2699628670233967,-1.0919663148051808,Vulnerable - Alto,"c(-76.3166630285522, 8.37912905295818)",-76.31666302855223,8.37912905295818
